Rewards:0-0
6.69 6.57 7.18 8.45 8.64 9.80 15.99 12.19 16.54 17.78 14.64 14.37 10.94 10.50 9.26 8.82 8.64 10.24 10.10 10.33 10.31 12.25 12.22 19.72 17.45 0 14.50 12.34 14.51 12.15 11.69 15.50 13.73 13.66 12.20 12.89 11.01 14.40 14.24 14.46 11.72 13.54 16.38 17.17 19.60 21.43 22.73 25.26 22.21 19.01 21.35 17.47 19.74 17.86 18.54 17.82 24.20 24.11 31.10 28.55 28.22 28.52 24.10 25.65 26.94 28.10 0 32.34 30.71 27.10 33.23 22.03 23.50 24.54 24.87 29.21 21.70 
6.74 9.57 7.46 8.30 9.30 8.81 15.08 13.25 16.32 17.83 14.40 17.35 13.65 10.69 7.49 7.08 6.91 8.11 8.29 9.00 9.58 10.89 15.09 23.90 17.71 15.40 0 10.73 16.17 10.31 8.80 10.65 13.80 13.77 11.93 10.31 9.59 12.18 13.68 12.55 10.17 11.87 14.41 16.55 16.78 22.41 22.80 23.04 20.27 17.47 19.52 16.10 17.83 16.00 14.90 17.56 23.78 25.32 30.10 28.85 27.71 24.56 18.13 23.48 27.49 29.12 28.54 29.85 29.71 26.48 30.67 24.10 20.79 19.35 23.64 28.11 21.22 
6.99 7.34 8.74 7.48 6.64 7.26 10.18 10.30 14.05 15.54 13.50 11.97 10.22 8.83 6.66 7.35 8.34 10.19 10.41 10.27 8.32 10.19 12.58 12.72 14.96 14.62 12.67 11.35 14.33 12.00 11.43 0 12.85 0 14.60 12.17 10.36 18.69 14.27 13.50 11.57 13.95 16.84 17.83 16.63 22.80 23.20 25.58 21.19 19.03 21.30 17.79 17.05 16.25 18.10 20.37 19.00 24.07 31.80 25.53 23.21 23.87 20.55 26.29 26.43 28.52 27.60 30.47 31.49 27.95 31.77 23.30 21.90 24.95 24.73 31.24 24.84 
7.39 7.55 5.73 7.49 6.39 6.28 10.95 9.67 12.05 14.26 12.20 11.19 8.45 7.00 6.95 7.87 8.06 8.72 9.86 8.39 7.56 8.84 10.92 12.70 13.33 13.65 10.50 10.18 13.65 10.41 12.99 11.30 11.28 11.90 15.15 11.32 11.64 12.08 16.86 13.87 12.86 12.90 16.00 18.59 13.80 24.52 23.10 25.39 21.05 18.01 20.42 16.84 16.55 14.94 16.20 17.60 19.22 19.40 0 25.11 23.00 20.20 28.60 20.38 26.96 25.83 0 28.28 28.39 25.62 28.63 18.60 22.13 23.05 26.09 28.28 22.25 
8.11 9.22 7.20 7.00 5.30 5.64 13.27 10.60 12.31 14.81 15.03 12.00 9.06 7.39 7.35 9.65 8.78 10.25 10.85 9.90 8.64 9.62 11.95 14.75 15.59 20.50 13.20 11.36 14.98 11.84 10.30 0 14.45 0 13.53 13.24 12.72 13.86 16.96 13.64 13.38 13.20 13.20 19.92 0 23.38 26.73 20.00 22.06 17.69 22.07 17.15 18.77 17.17 17.85 17.40 19.36 21.20 20.70 24.63 23.79 18.91 18.90 21.40 25.33 27.06 0 33.90 30.00 27.07 27.00 26.00 27.70 24.30 24.70 29.41 21.85 
8.62 9.17 7.32 6.69 5.44 7.78 10.36 7.98 11.73 14.48 12.74 11.13 8.45 6.87 7.58 8.38 8.98 10.21 9.40 11.13 8.64 9.33 10.23 13.90 11.96 16.15 12.85 10.71 14.66 10.54 10.80 0 11.30 13.58 13.50 12.15 12.40 16.92 16.32 14.49 12.88 15.89 17.42 19.40 18.50 20.55 26.10 26.40 22.31 16.39 20.36 16.22 19.22 16.60 15.60 16.50 18.28 23.30 25.80 25.72 21.00 20.00 18.00 24.68 22.59 29.65 31.05 30.17 28.63 26.69 26.55 18.70 24.58 22.50 25.33 27.23 21.85 
12.13 13.49 10.37 10.42 9.35 9.18 9.69 7.61 10.15 14.98 13.74 11.97 9.38 9.71 12.08 12.92 14.29 14.72 14.42 14.33 12.56 14.14 15.55 15.63 16.21 18.58 18.00 16.62 19.15 17.08 18.59 15.72 18.95 21.40 20.34 16.60 16.97 22.09 20.80 19.12 16.27 19.15 20.78 22.47 24.27 28.40 30.81 28.63 26.71 23.15 26.01 21.79 21.61 20.81 20.18 17.49 19.19 21.94 24.84 24.61 22.69 21.80 18.80 23.24 25.37 28.90 37.63 33.59 33.96 30.14 31.98 23.98 27.91 28.11 30.63 33.77 23.89 
0 0 0 9.95 0 9.44 9.62 5.22 10.15 10.20 11.65 9.70 6.84 8.74 11.33 13.00 12.00 13.25 13.35 14.35 9.90 11.60 13.20 0 11.65 0 0 13.13 15.68 14.75 15.30 0 0 0 17.53 17.55 12.30 0 0 0 16.55 0 0 20.20 0 0 30.10 34.20 25.83 21.83 23.10 25.20 19.63 19.60 0 14.13 17.13 17.79 0 19.70 16.76 19.40 0 17.70 29.75 24.00 23.10 28.20 31.30 29.20 0 0 28.30 29.80 33.09 33.90 24.30 
12.83 15.05 14.80 13.42 9.89 11.03 15.44 6.72 7.03 9.08 7.96 8.84 9.15 12.09 13.60 15.00 13.35 15.30 16.40 13.92 14.03 11.66 13.43 9.43 10.56 14.50 14.35 15.40 16.06 16.07 18.29 0 20.20 0 22.55 22.30 19.18 19.89 24.57 21.10 17.75 21.20 24.10 26.12 28.27 25.25 37.90 0 28.25 25.65 27.52 20.96 18.40 15.10 12.35 17.60 14.41 16.48 0 18.56 15.68 13.32 14.90 19.46 17.42 21.74 0 28.88 28.44 27.92 25.43 23.40 30.53 27.90 31.05 28.66 16.12 
16.64 21.70 16.32 14.22 17.86 14.42 14.30 12.15 8.21 7.06 7.45 9.50 12.49 13.73 15.64 18.33 19.33 18.75 16.35 15.73 14.51 13.94 12.43 8.10 8.50 11.90 0 21.60 18.89 19.03 18.45 19.79 20.15 0 19.80 26.11 21.40 23.25 22.90 22.60 24.27 26.97 0 25.37 27.60 0 0 25.80 28.50 22.81 27.21 21.18 20.62 17.20 8.74 7.81 8.13 11.34 15.07 14.10 12.01 10.69 9.89 13.52 14.37 17.86 0 20.97 23.67 26.48 20.43 25.85 34.02 0 32.50 23.02 13.88 
14.77 17.30 15.10 11.93 14.65 14.27 13.92 9.05 7.35 7.87 8.27 8.59 7.50 11.34 14.10 15.35 0 17.65 16.85 12.17 12.63 10.35 12.73 9.94 7.03 11.73 11.13 13.88 16.50 16.10 17.70 15.60 16.90 17.79 19.20 19.79 20.27 0 29.45 22.57 19.18 22.05 22.55 23.16 0 45.70 0 31.30 27.03 20.03 24.85 21.32 19.06 19.42 12.82 7.35 13.09 14.00 0 17.14 15.51 13.13 12.00 15.08 16.00 19.60 20.10 22.85 25.20 24.76 28.30 24.70 32.55 0 41.20 27.60 13.00 
12.58 0 11.77 11.67 0 12.42 12.11 7.83 8.41 9.34 7.04 6.60 6.75 9.39 11.61 13.47 13.83 14.63 14.30 16.55 9.70 8.03 6.75 7.02 7.14 12.57 11.30 10.73 12.09 0 18.40 0 0 0 18.33 16.70 16.40 20.70 18.30 18.10 18.00 21.95 0 22.28 20.70 0 0 26.70 25.77 18.73 22.72 16.40 15.17 13.44 9.90 10.55 12.73 17.63 0 19.95 17.72 14.17 0 17.32 16.05 20.41 19.79 0 23.90 24.13 33.00 27.70 31.15 0 26.40 26.70 13.20 
10.53 10.55 9.24 9.10 12.30 8.12 9.01 6.46 7.75 11.03 9.10 6.55 6.28 7.00 9.13 11.37 11.62 13.01 11.13 8.96 8.50 7.20 14.57 0 8.78 0 12.42 10.24 13.60 12.91 14.43 14.70 15.77 0 0 15.17 15.23 16.10 18.57 18.68 0 15.80 20.10 21.34 0 26.43 0 26.70 24.24 18.38 22.11 16.35 16.54 15.03 10.50 11.70 15.24 16.90 0 21.79 17.90 17.14 0 19.14 21.97 22.71 0 29.13 28.60 26.11 33.59 0 25.30 0 24.50 29.54 16.50 
